MatchDate,Season,Team,Opponent,Venue,Shots,GoalsFor,GoalsAgainst,Result,RedCard
01/03/17,1617,Alaves,Granada,Away,5,1,2,H,2
01/03/18,1718,Alaves,Levante,Home,5,1,0,H,1
01/04/18,1718,Alaves,Espanol,Away,4,0,0,D,0
01/05/2021,2021,Alaves,Eibar,Away,2,0,3,H,0
01/07/2020,1920,Alaves,Granada,Home,4,0,2,A,0
01/09/2024,2425,Alaves,Las Palmas,Home,5,2,0,H,0
01/10/16,1617,Alaves,Sevilla,Away,1,1,2,H,0
01/10/2021,2122,Alaves,Ath Bilbao,Away,5,0,1,H,0
01/10/2023,2324,Alaves,Osasuna,Home,3,0,2,A,1
01/11/2024,2425,Alaves,Mallorca,Home,3,1,0,H,0
02/01/2022,2122,Alaves,Sociedad,Home,5,1,1,D,0
02/01/2024,2324,Alaves,Sociedad,Away,2,1,1,D,0
02/02/2020,1920,Alaves,Sevilla,Away,3,1,1,D,0
02/02/2025,2425,Alaves,Barcelona,Away,0,0,1,H,0
02/03/2019,1819,Alaves,Villarreal,Away,2,2,1,A,0
02/03/2025,2425,Alaves,Mallorca,Away,7,1,1,D,0
02/04/06,506,Alaves,Ath Bilbao,Home,2,0,0,D,0
02/04/17,1617,Alaves,Real Madrid,Away,3,0,3,H,0
02/04/2022,2122,Alaves,Ath Madrid,Away,1,1,4,H,0
02/05/2026,2526,Alaves,Ath Bilbao,Home,4,2,4,A,0
02/09/2018,1819,Alaves,Espanol,Home,5,2,1,H,0
02/09/2023,2324,Alaves,Valencia,Home,1,1,0,H,0
02/10/05,506,Alaves,Santander,Away,3,2,1,A,0
02/11/2025,2526,Alaves,Espanol,Home,4,2,1,H,1
02/12/2018,1819,Alaves,Sevilla,Home,3,1,1,D,0
03/01/2021,2021,Alaves,Ath Madrid,Home,1,1,2,A,1
03/02/18,1718,Alaves,Celta,Home,3,2,1,H,0
03/02/2019,1819,Alaves,Real Madrid,Away,1,0,3,H,0
03/02/2024,2324,Alaves,Barcelona,Home,2,1,3,A,0
03/05/06,506,Alaves,Betis,Home,5,2,0,H,1
03/05/2025,2425,Alaves,Ath Madrid,Home,2,0,0,D,0
03/11/2019,1920,Alaves,Osasuna,Away,3,2,4,H,0
03/12/2021,2122,Alaves,Granada,Away,2,1,2,H,0
03/12/2023,2324,Alaves,Mallorca,Away,4,0,0,D,0
04/01/2026,2526,Alaves,Oviedo,Home,7,1,1,D,1
04/03/06,506,Alaves,Villarreal,Away,2,2,3,H,0
04/03/18,1718,Alaves,Sociedad,Away,1,1,2,H,0
04/03/2022,2122,Alaves,Sevilla,Home,2,0,0,D,0
04/03/2024,2324,Alaves,Osasuna,Away,4,0,1,H,0
04/04/2019,1819,Alaves,Sevilla,Away,2,0,2,H,0
04/04/2021,2021,Alaves,Celta,Home,7,1,3,A,0
04/05/2019,1819,Alaves,Sociedad,Home,6,0,1,A,0
04/07/2020,1920,Alaves,Valladolid,Away,0,0,1,H,0
04/10/2020,2021,Alaves,Ath Bilbao,Home,3,1,0,H,1
04/11/17,1718,Alaves,Espanol,Home,6,1,0,H,0
04/11/2018,1819,Alaves,Eibar,Away,3,1,2,H,1
04/12/05,506,Alaves,Mallorca,Home,3,0,3,A,0
04/12/16,1617,Alaves,Las Palmas,Home,2,1,1,D,0
04/12/17,1718,Alaves,Girona,Away,4,3,2,A,0
05/01/2019,1819,Alaves,Valencia,Home,5,2,1,H,0
05/01/2020,1920,Alaves,Betis,Home,1,1,1,D,0
05/02/06,506,Alaves,Getafe,Away,3,2,2,D,0
05/02/17,1617,Alaves,Sp Gijon,Away,7,4,2,A,0
05/02/2021,2021,Alaves,Valladolid,Home,5,1,0,H,0
05/02/2022,2122,Alaves,Elche,Away,2,1,3,H,0
05/04/17,1617,Alaves,Osasuna,Home,3,0,1,A,0
05/04/2025,2425,Alaves,Girona,Away,3,1,0,A,0
05/04/2026,2526,Alaves,Osasuna,Home,6,2,2,D,0
05/05/2024,2324,Alaves,Valencia,Away,4,1,0,A,0
05/10/2019,1920,Alaves,Valencia,Away,4,1,2,H,0
05/10/2025,2526,Alaves,Elche,Home,5,3,1,H,0
05/11/16,1617,Alaves,Osasuna,Away,3,1,0,A,0
05/11/2023,2324,Alaves,Almeria,Home,3,1,0,H,0
06/03/17,1617,Alaves,Sevilla,Home,4,1,1,D,0
06/03/2020,1920,Alaves,Valencia,Home,2,1,1,D,0
06/05/18,1718,Alaves,Malaga,Away,7,3,0,A,0
06/10/2018,1819,Alaves,Real Madrid,Home,4,1,0,H,0
06/10/2024,2425,Alaves,Barcelona,Home,2,0,3,A,0
06/11/05,506,Alaves,Celta,Away,2,1,2,H,0
06/11/2021,2122,Alaves,Levante,Home,3,2,1,H,0
06/12/2020,2021,Alaves,Sociedad,Home,1,0,0,D,1
06/12/2025,2526,Alaves,Sociedad,Home,3,1,0,H,0
07/01/18,1718,Alaves,Ath Bilbao,Away,1,0,2,H,0
07/02/2020,1920,Alaves,Eibar,Home,5,2,1,H,0
07/04/18,1718,Alaves,Getafe,Home,2,2,0,H,0
07/04/2019,1819,Alaves,Leganes,Home,1,1,1,D,0
07/05/06,506,Alaves,Zaragoza,Away,4,0,3,H,0
07/05/17,1617,Alaves,Ath Bilbao,Home,3,1,0,H,0
07/05/2022,2122,Alaves,Celta,Away,1,0,4,H,1
07/12/2019,1920,Alaves,Granada,Away,1,0,3,H,2
08/01/06,506,Alaves,Zaragoza,Home,5,0,2,A,0
08/01/17,1617,Alaves,Ath Bilbao,Away,4,0,0,D,0
08/02/2026,2526,Alaves,Getafe,Home,5,0,2,A,0
08/03/2021,2021,Alaves,Betis,Away,3,2,3,H,0
08/03/2025,2425,Alaves,Villarreal,Home,3,1,0,H,2
08/03/2026,2526,Alaves,Valencia,Away,4,2,3,H,2
08/04/17,1617,Alaves,Espanol,Away,0,0,1,H,0
08/05/2021,2021,Alaves,Levante,Home,5,2,2,D,0
08/10/2023,2324,Alaves,Betis,Home,5,1,1,D,0
08/11/2020,2021,Alaves,Levante,Away,2,1,1,D,1
08/11/2025,2526,Alaves,Girona,Away,5,0,1,H,0
08/12/17,1718,Alaves,Las Palmas,Home,9,2,0,H,0
08/12/2018,1819,Alaves,Ath Madrid,Away,3,0,3,H,0
08/12/2024,2425,Alaves,Osasuna,Away,3,2,2,D,0
09/01/2022,2122,Alaves,Ath Bilbao,Home,1,0,0,D,0
09/02/2025,2425,Alaves,Getafe,Home,4,0,1,A,0
09/03/2019,1819,Alaves,Eibar,Home,3,1,1,D,0
09/04/06,506,Alaves,Osasuna,Home,7,1,2,A,0
09/05/2026,2526,Alaves,Elche,Away,4,1,1,D,0
09/11/2019,1920,Alaves,Valladolid,Home,5,3,0,H,0
09/11/2024,2425,Alaves,Villarreal,Away,3,0,3,H,0
09/12/2023,2324,Alaves,Las Palmas,Home,5,0,1,A,0
10/01/2021,2021,Alaves,Cadiz,Away,2,1,3,H,1
10/01/2026,2526,Alaves,Villarreal,Away,5,1,3,H,0
10/02/18,1718,Alaves,Villarreal,Away,4,2,1,A,0
10/02/2024,2324,Alaves,Villarreal,Home,4,1,1,D,0
10/03/2024,2324,Alaves,Vallecano,Home,4,1,0,H,0
10/04/2021,2021,Alaves,Ath Bilbao,Away,0,0,0,D,0
10/04/2022,2122,Alaves,Osasuna,Away,2,0,1,H,0
10/05/2024,2324,Alaves,Girona,Home,8,2,2,D,0
10/07/2020,1920,Alaves,Real Madrid,Away,4,0,2,H,0
10/09/16,1617,Alaves,Barcelona,Away,4,2,1,A,0
10/09/17,1718,Alaves,Celta,Away,3,0,1,H,0
11/01/2025,2425,Alaves,Girona,Home,2,0,1,A,0
11/02/17,1617,Alaves,Barcelona,Home,4,0,6,A,0
11/02/2019,1819,Alaves,Levante,Home,4,2,0,H,0
11/03/17,1617,Alaves,Malaga,Away,2,2,1,A,1
11/04/2026,2526,Alaves,Sociedad,Away,2,3,3,D,0
11/05/2021,2021,Alaves,Elche,Away,2,2,0,A,0
11/05/2022,2122,Alaves,Espanol,Home,9,2,1,H,0
11/05/2025,2425,Alaves,Ath Bilbao,Away,1,0,1,H,0
11/09/05,506,Alaves,Sociedad,Away,3,1,2,H,0
11/11/2018,1819,Alaves,Huesca,Home,5,2,1,H,0
11/12/05,506,Alaves,Ath Madrid,Away,6,1,1,D,0
11/12/16,1617,Alaves,Eibar,Away,3,0,0,D,0
11/12/2021,2122,Alaves,Getafe,Home,1,1,1,D,1
12/01/2019,1819,Alaves,Girona,Away,4,1,1,D,0
12/01/2024,2324,Alaves,Sevilla,Away,8,3,2,A,0
12/02/06,506,Alaves,Malaga,Home,5,3,2,H,0
12/03/06,506,Alaves,Sevilla,Home,5,2,1,H,2
12/03/18,1718,Alaves,Betis,Home,1,1,3,A,0
12/05/18,1718,Alaves,Ath Bilbao,Home,3,3,1,H,0
12/05/2019,1819,Alaves,Valencia,Away,3,1,3,H,0
12/11/2023,2324,Alaves,Barcelona,Away,1,1,2,H,0
12/12/2020,2021,Alaves,Huesca,Away,1,0,1,H,0
13/02/2021,2021,Alaves,Barcelona,Away,2,1,5,H,0
13/02/2022,2122,Alaves,Valencia,Home,5,2,1,H,0
13/03/2021,2021,Alaves,Cadiz,Home,3,1,1,D,1
13/03/2022,2122,Alaves,Sociedad,Away,4,0,1,H,0
13/03/2026,2526,Alaves,Villarreal,Home,0,1,1,D,0
13/04/2019,1819,Alaves,Espanol,Away,3,1,2,H,0
13/04/2025,2425,Alaves,Real Madrid,Home,6,0,1,A,1
13/05/06,506,Alaves,La Coruna,Home,8,1,0,H,0
13/05/2026,2526,Alaves,Barcelona,Home,3,1,0,H,0
13/06/2020,1920,Alaves,Espanol,Away,0,0,2,H,1
13/07/2020,1920,Alaves,Getafe,Home,1,0,0,D,0
13/09/2020,2021,Alaves,Betis,Home,2,0,1,A,0
13/09/2025,2526,Alaves,Ath Bilbao,Away,2,1,0,A,0
13/12/2019,1920,Alaves,Leganes,Home,3,1,1,D,0
14/01/18,1718,Alaves,Sevilla,Home,3,1,0,H,1
14/02/2026,2526,Alaves,Sevilla,Away,1,1,1,D,0
14/03/2025,2425,Alaves,Las Palmas,Away,3,2,2,D,0
14/04/2024,2324,Alaves,Granada,Away,3,0,2,H,0
14/05/17,1617,Alaves,Celta,Home,4,3,1,H,0
14/05/2024,2324,Alaves,Real Madrid,Away,10,0,5,H,0
14/05/2025,2425,Alaves,Valencia,Home,5,1,0,H,0
14/08/2021,2122,Alaves,Real Madrid,Home,4,1,4,A,0
14/08/2023,2324,Alaves,Cadiz,Away,2,0,1,H,0
14/09/2024,2425,Alaves,Espanol,Away,6,2,3,H,0
14/10/17,1718,Alaves,Sociedad,Home,0,0,2,A,0
14/12/2025,2526,Alaves,Real Madrid,Home,2,1,2,A,0
15/01/06,506,Alaves,La Coruna,Away,5,2,0,A,0
15/01/17,1617,Alaves,Celta,Away,1,0,1,H,1
15/02/2020,1920,Alaves,Mallorca,Away,0,0,1,H,0
15/02/2025,2425,Alaves,Leganes,Away,7,3,3,D,0
15/04/06,506,Alaves,Mallorca,Away,2,0,0,D,0
15/04/18,1718,Alaves,Eibar,Away,1,1,0,A,0
15/05/2022,2122,Alaves,Levante,Away,2,1,3,H,0
15/09/2019,1920,Alaves,Sevilla,Home,0,0,1,A,0
15/09/2023,2324,Alaves,Vallecano,Away,1,0,2,H,0
15/10/05,506,Alaves,Villarreal,Home,4,1,1,D,0
15/12/2024,2425,Alaves,Ath Bilbao,Home,3,1,1,D,0
16/03/2019,1819,Alaves,Huesca,Away,5,3,1,A,0
16/03/2024,2324,Alaves,Ath Bilbao,Away,3,0,2,H,0
16/04/2022,2122,Alaves,Vallecano,Home,5,1,0,H,0
16/05/2021,2021,Alaves,Granada,Home,9,4,2,H,0
16/07/2020,1920,Alaves,Betis,Away,5,2,1,A,1
16/08/2024,2425,Alaves,Celta,Away,2,1,2,H,0
16/08/2025,2526,Alaves,Levante,Home,4,2,1,H,0
16/09/2018,1819,Alaves,Valladolid,Away,4,1,0,A,0
16/10/16,1617,Alaves,Malaga,Home,4,1,1,D,1
16/12/16,1617,Alaves,Betis,Home,2,1,0,H,0
16/12/17,1718,Alaves,Ath Madrid,Away,0,0,1,H,0
17/02/18,1718,Alaves,La Coruna,Home,3,1,0,H,0
17/02/2019,1819,Alaves,Betis,Away,3,1,1,D,0
17/03/18,1718,Alaves,Valencia,Away,4,1,3,H,0
17/04/17,1617,Alaves,Villarreal,Home,5,2,1,H,0
17/05/2026,2526,Alaves,Oviedo,Away,1,1,0,A,0
17/09/17,1718,Alaves,Villarreal,Home,2,0,3,A,0
17/12/2018,1819,Alaves,Ath Bilbao,Home,2,0,0,D,0
18/01/2019,1819,Alaves,Getafe,Away,0,0,4,H,0
18/01/2020,1920,Alaves,Levante,Away,6,1,0,A,0
18/01/2022,2122,Alaves,Betis,Away,2,0,4,H,0
18/01/2025,2425,Alaves,Betis,Away,5,3,1,A,0
18/01/2026,2526,Alaves,Ath Madrid,Away,0,0,1,H,0
18/02/06,506,Alaves,Real Madrid,Away,3,0,3,H,0
18/02/17,1617,Alaves,La Coruna,Away,4,1,0,A,0
18/02/2024,2324,Alaves,Betis,Away,4,0,0,D,0
18/03/17,1617,Alaves,Sociedad,Home,5,1,0,H,0
18/04/2021,2021,Alaves,Huesca,Home,2,1,0,H,0
18/05/2019,1819,Alaves,Girona,Home,7,2,1,H,0
18/05/2024,2324,Alaves,Getafe,Home,2,1,0,H,0
18/05/2025,2425,Alaves,Valladolid,Away,4,1,0,A,0
18/06/2020,1920,Alaves,Sociedad,Home,7,2,0,H,1
18/08/17,1718,Alaves,Leganes,Away,3,0,1,H,0
18/08/2018,1819,Alaves,Barcelona,Away,0,0,3,H,0
18/08/2019,1920,Alaves,Levante,Home,2,1,0,H,0
18/09/05,506,Alaves,Getafe,Home,5,3,4,A,0
18/09/2021,2122,Alaves,Osasuna,Home,3,0,2,A,0
18/10/2020,2021,Alaves,Elche,Home,2,0,2,A,0
18/10/2021,2122,Alaves,Betis,Home,2,0,1,A,0
18/10/2024,2425,Alaves,Valladolid,Home,4,2,3,A,1
18/11/17,1718,Alaves,Getafe,Away,5,1,4,H,0
18/12/05,506,Alaves,Valencia,Home,3,0,1,A,0
18/12/2021,2122,Alaves,Vallecano,Away,4,0,2,H,0
18/12/2023,2324,Alaves,Girona,Away,2,0,3,H,0
19/01/2021,2021,Alaves,Sevilla,Home,3,1,2,A,0
19/01/2024,2324,Alaves,Cadiz,Home,3,1,0,H,0
19/02/2022,2122,Alaves,Real Madrid,Away,2,0,3,H,0
19/03/06,506,Alaves,Cadiz,Away,5,0,0,D,0
19/03/2022,2122,Alaves,Granada,Home,6,2,3,A,0
19/04/18,1718,Alaves,Girona,Home,5,1,2,A,0
19/04/2019,1819,Alaves,Valladolid,Home,4,2,2,D,0
19/04/2022,2122,Alaves,Mallorca,Away,4,1,2,H,0
19/05/18,1718,Alaves,Sevilla,Away,4,0,1,H,0
19/07/2020,1920,Alaves,Barcelona,Home,0,0,5,A,0
19/09/16,1617,Alaves,La Coruna,Home,1,0,0,D,0
19/10/2018,1819,Alaves,Celta,Away,2,1,0,A,0
20/04/2025,2425,Alaves,Sevilla,Away,3,1,1,D,0
20/05/17,1617,Alaves,Leganes,Away,5,1,1,D,0
20/09/17,1718,Alaves,La Coruna,Away,3,0,1,H,0
20/09/2020,2021,Alaves,Granada,Away,3,1,2,H,0
20/09/2024,2425,Alaves,Sevilla,Home,4,2,1,H,0
20/09/2025,2526,Alaves,Sevilla,Home,5,1,2,A,0
20/10/2019,1920,Alaves,Celta,Home,5,2,0,H,0
20/10/2025,2526,Alaves,Valencia,Home,3,0,0,D,0
20/11/05,506,Alaves,Ath Bilbao,Away,7,2,0,A,0
20/11/16,1617,Alaves,Espanol,Home,4,0,1,A,0
20/11/2021,2122,Alaves,Sevilla,Away,3,2,2,D,0
20/12/2020,2021,Alaves,Celta,Away,2,0,2,H,0
20/12/2025,2526,Alaves,Osasuna,Away,3,0,3,H,0
21/01/17,1617,Alaves,Leganes,Home,3,2,2,D,0
21/01/18,1718,Alaves,Leganes,Home,6,2,2,D,1
21/02/2021,2021,Alaves,Sociedad,Away,2,0,4,H,0
21/03/2021,2021,Alaves,Ath Madrid,Away,3,0,1,H,0
21/04/2021,2021,Alaves,Villarreal,Home,4,2,1,H,0
21/04/2024,2324,Alaves,Ath Madrid,Home,3,2,0,H,0
21/04/2026,2526,Alaves,Real Madrid,Away,5,1,2,H,0
21/06/2020,1920,Alaves,Celta,Away,2,0,6,H,1
21/08/16,1617,Alaves,Ath Madrid,Away,1,1,1,D,0
21/08/2021,2122,Alaves,Mallorca,Home,4,0,1,A,1
21/08/2023,2324,Alaves,Sevilla,Home,7,4,3,H,0
21/09/05,506,Alaves,Malaga,Away,1,0,0,D,0
21/10/17,1718,Alaves,Betis,Away,3,0,2,H,0
21/12/05,506,Alaves,Betis,Away,3,0,3,H,0
21/12/17,1718,Alaves,Malaga,Home,5,1,0,H,0
21/12/2018,1819,Alaves,Sociedad,Away,3,1,0,A,0
21/12/2019,1920,Alaves,Barcelona,Away,3,1,4,H,0
21/12/2021,2122,Alaves,Villarreal,Away,2,2,5,H,0
21/12/2023,2324,Alaves,Real Madrid,Home,2,0,1,A,0
22/01/06,506,Alaves,Barcelona,Away,1,0,2,H,0
22/02/2025,2425,Alaves,Espanol,Home,5,0,1,A,0
22/03/06,506,Alaves,Celta,Home,6,1,0,H,0
22/03/2026,2526,Alaves,Celta,Away,6,4,3,A,0
22/04/06,506,Alaves,Ath Madrid,Home,1,0,1,A,0
22/04/18,1718,Alaves,Las Palmas,Away,7,4,0,A,0
22/05/2022,2122,Alaves,Cadiz,Home,2,0,1,A,0
22/08/2025,2526,Alaves,Betis,Away,5,0,1,H,0
22/09/16,1617,Alaves,Valencia,Away,1,1,2,H,0
22/09/2018,1819,Alaves,Vallecano,Away,7,5,1,A,0
22/09/2019,1920,Alaves,Ath Bilbao,Away,1,0,2,H,0
22/09/2021,2122,Alaves,Espanol,Away,2,0,1,H,0
22/09/2023,2324,Alaves,Ath Bilbao,Home,5,0,2,A,0
22/10/05,506,Alaves,Sevilla,Away,3,0,2,H,0
22/10/16,1617,Alaves,Sociedad,Away,3,0,3,H,0
22/10/2023,2324,Alaves,Villarreal,Away,7,1,1,D,0
22/11/2020,2021,Alaves,Valencia,Home,3,2,2,D,0
22/11/2025,2526,Alaves,Celta,Home,2,0,1,A,0
22/12/2024,2425,Alaves,Valencia,Away,3,2,2,D,0
23/01/2021,2021,Alaves,Real Madrid,Home,4,1,4,A,0
23/01/2022,2122,Alaves,Barcelona,Home,2,0,1,A,0
23/02/2019,1819,Alaves,Celta,Home,4,0,0,D,0
23/02/2020,1920,Alaves,Ath Bilbao,Home,4,2,1,H,0
23/02/2026,2526,Alaves,Girona,Home,6,2,2,D,0
23/04/17,1617,Alaves,Las Palmas,Away,5,1,1,D,0
23/04/2019,1819,Alaves,Barcelona,Home,1,0,2,A,0
23/04/2025,2425,Alaves,Sociedad,Home,1,1,0,H,0
23/05/2021,2021,Alaves,Sevilla,Away,2,0,1,H,0
23/05/2026,2526,Alaves,Vallecano,Home,11,1,2,A,0
23/09/17,1718,Alaves,Real Madrid,Home,3,1,2,A,0
23/10/2021,2122,Alaves,Cadiz,Away,4,2,0,A,0
23/11/2018,1819,Alaves,Leganes,Away,2,0,1,H,0
23/11/2024,2425,Alaves,Ath Madrid,Away,1,1,2,H,0
23/12/2020,2021,Alaves,Eibar,Home,3,2,1,H,0
24/02/18,1718,Alaves,Real Madrid,Away,5,0,4,H,0
24/02/2024,2324,Alaves,Mallorca,Home,1,1,1,D,0
24/04/2021,2021,Alaves,Valencia,Away,2,1,1,D,1
24/05/2025,2425,Alaves,Osasuna,Home,5,1,1,D,0
24/06/2020,1920,Alaves,Osasuna,Home,0,0,1,A,0
24/09/2024,2425,Alaves,Real Madrid,Away,3,2,3,H,0
24/09/2025,2526,Alaves,Getafe,Away,4,1,1,D,0
24/11/2019,1920,Alaves,Eibar,Away,5,2,0,A,0
24/11/2023,2324,Alaves,Granada,Home,5,3,1,H,0
25/01/2020,1920,Alaves,Villarreal,Home,6,1,2,A,0
25/01/2026,2526,Alaves,Betis,Home,9,2,1,H,0
25/02/17,1617,Alaves,Valencia,Home,5,2,1,H,0
25/04/2026,2526,Alaves,Mallorca,Home,4,2,1,H,0
25/08/2018,1819,Alaves,Betis,Home,4,0,0,D,0
25/08/2019,1920,Alaves,Espanol,Home,2,0,0,D,0
25/08/2024,2425,Alaves,Betis,Home,1,0,0,D,1
25/09/05,506,Alaves,Real Madrid,Home,6,0,3,A,0
25/09/2021,2122,Alaves,Ath Madrid,Home,1,1,0,H,0
25/10/2019,1920,Alaves,Villarreal,Away,3,1,4,H,0
25/10/2020,2021,Alaves,Valladolid,Away,4,2,0,A,0
25/11/17,1718,Alaves,Eibar,Home,2,1,2,A,1
26/01/2024,2324,Alaves,Almeria,Away,3,3,0,A,0
26/02/06,506,Alaves,Santander,Home,2,2,2,D,0
26/02/2022,2122,Alaves,Getafe,Away,3,2,2,D,0
26/03/06,506,Alaves,Espanol,Away,2,0,0,D,0
26/05/2024,2324,Alaves,Las Palmas,Away,4,1,1,D,0
26/08/17,1718,Alaves,Barcelona,Home,2,0,2,A,0
26/09/16,1617,Alaves,Granada,Home,6,3,1,H,0
26/09/2019,1920,Alaves,Sociedad,Away,0,0,3,H,1
26/09/2020,2021,Alaves,Getafe,Home,0,0,0,D,0
26/10/2021,2122,Alaves,Elche,Home,5,1,0,H,0
26/10/2024,2425,Alaves,Vallecano,Away,7,0,1,H,0
26/10/2025,2526,Alaves,Vallecano,Away,2,0,1,H,0
27/01/2025,2425,Alaves,Celta,Home,1,1,1,D,0
27/02/2021,2021,Alaves,Osasuna,Home,1,0,1,A,0
27/02/2026,2526,Alaves,Levante,Away,7,0,2,H,1
27/04/17,1617,Alaves,Eibar,Home,4,0,0,D,0
27/04/2019,1819,Alaves,Ath Bilbao,Away,3,1,1,D,0
27/04/2024,2324,Alaves,Celta,Home,8,3,0,H,0
27/06/2020,1920,Alaves,Ath Madrid,Away,2,1,2,H,0
27/08/05,506,Alaves,Barcelona,Home,0,0,0,D,0
27/08/2021,2122,Alaves,Valencia,Away,3,0,3,H,0
27/09/2018,1819,Alaves,Getafe,Home,2,1,1,D,0
27/09/2025,2526,Alaves,Mallorca,Away,3,0,1,H,0
27/10/05,506,Alaves,Espanol,Home,9,1,1,D,1
27/11/05,506,Alaves,Osasuna,Away,5,2,3,H,0
27/11/16,1617,Alaves,Villarreal,Away,7,2,0,A,0
27/11/2021,2122,Alaves,Celta,Home,5,1,2,A,0
28/01/17,1617,Alaves,Ath Madrid,Home,4,0,0,D,0
28/01/18,1718,Alaves,Barcelona,Away,4,1,2,H,0
28/01/2019,1819,Alaves,Vallecano,Home,1,0,1,A,0
28/08/16,1617,Alaves,Sp Gijon,Home,2,0,0,D,0
28/08/2023,2324,Alaves,Getafe,Away,2,0,1,H,0
28/08/2024,2425,Alaves,Sociedad,Away,5,2,1,A,0
28/09/2023,2324,Alaves,Celta,Away,11,1,1,D,0
28/09/2024,2425,Alaves,Getafe,Away,1,0,2,H,0
28/10/17,1718,Alaves,Valencia,Home,6,1,2,A,0
28/10/2018,1819,Alaves,Villarreal,Home,6,2,1,H,0
28/11/2020,2021,Alaves,Real Madrid,Away,6,2,1,A,0
29/01/06,506,Alaves,Sociedad,Home,6,3,1,H,0
29/02/2020,1920,Alaves,Leganes,Away,4,1,1,D,0
29/03/2025,2425,Alaves,Vallecano,Home,4,0,2,A,0
29/04/18,1718,Alaves,Ath Madrid,Home,3,0,1,A,0
29/09/2019,1920,Alaves,Mallorca,Home,6,2,0,H,0
29/10/16,1617,Alaves,Real Madrid,Home,3,1,4,A,0
29/10/2019,1920,Alaves,Ath Madrid,Home,3,1,1,D,0
29/10/2023,2324,Alaves,Ath Madrid,Away,1,1,2,H,0
29/11/2025,2526,Alaves,Barcelona,Away,2,1,3,H,0
30/01/2026,2526,Alaves,Espanol,Away,7,2,1,A,0
30/03/2019,1819,Alaves,Ath Madrid,Home,4,0,4,A,0
30/04/06,506,Alaves,Valencia,Away,3,0,3,H,0
30/04/17,1617,Alaves,Betis,Away,5,4,1,A,0
30/04/2022,2122,Alaves,Villarreal,Home,5,2,1,H,0
30/08/2025,2526,Alaves,Ath Madrid,Home,2,1,1,D,0
30/09/17,1718,Alaves,Levante,Away,3,2,0,A,0
30/09/2018,1819,Alaves,Levante,Away,2,1,2,H,0
30/09/2020,2021,Alaves,Villarreal,Away,3,1,3,H,0
30/10/05,506,Alaves,Cadiz,Home,6,0,0,D,0
30/10/2021,2122,Alaves,Barcelona,Away,2,1,1,D,0
30/11/2019,1920,Alaves,Real Madrid,Home,2,1,2,A,0
30/11/2024,2425,Alaves,Leganes,Home,7,1,1,D,0
31/01/2021,2021,Alaves,Getafe,Away,1,0,0,D,0
31/03/2024,2324,Alaves,Sociedad,Home,0,0,1,A,0
31/08/2019,1920,Alaves,Getafe,Away,1,1,1,D,0
31/10/2020,2021,Alaves,Barcelona,Home,3,1,1,D,1
31/12/2020,2021,Alaves,Osasuna,Away,1,1,1,D,0
01/02/09,809,Almeria,Valencia,Away,5,2,3,H,0
01/02/15,1415,Almeria,Getafe,Home,7,1,0,H,1
01/03/09,809,Almeria,Getafe,Home,5,2,1,H,0
01/03/2024,2324,Almeria,Celta,Away,0,0,1,H,1
01/05/10,910,Almeria,Xerez,Away,3,1,2,H,1
01/05/11,1011,Almeria,Sevilla,Home,1,0,1,A,1
01/09/2023,2324,Almeria,Celta,Home,5,2,3,A,0
01/10/2023,2324,Almeria,Granada,Home,5,3,3,D,0
01/11/09,910,Almeria,Zaragoza,Away,4,1,2,H,0
01/12/07,708,Almeria,Sevilla,Home,3,1,0,H,0
01/12/14,1415,Almeria,Vallecano,Home,1,0,1,A,0
02/02/08,708,Almeria,Real Madrid,Home,4,2,0,H,0
02/02/14,1314,Almeria,Elche,Away,3,0,1,H,0
02/03/08,708,Almeria,Ath Bilbao,Home,2,1,1,D,0
02/03/14,1314,Almeria,Barcelona,Away,3,1,4,H,0
02/04/2023,2223,Almeria,Celta,Away,3,2,2,D,0
02/05/2023,2223,Almeria,Elche,Home,4,2,1,H,0
02/09/07,708,Almeria,Valencia,Home,4,1,2,A,0
02/11/08,809,Almeria,Real Madrid,Home,3,1,1,D,0
02/11/13,1314,Almeria,Valladolid,Home,7,1,0,H,0
02/11/14,1415,Almeria,Levante,Away,5,1,2,H,0
03/01/10,910,Almeria,Xerez,Home,4,1,0,H,0
03/01/11,1011,Almeria,Villarreal,Away,2,0,2,H,0
03/01/15,1415,Almeria,Malaga,Away,4,2,1,A,1
03/02/2024,2324,Almeria,Valencia,Away,5,1,2,H,0
03/03/11,1011,Almeria,Santander,Home,6,1,1,D,0
03/05/09,809,Almeria,Santander,Away,4,2,0,A,0
03/10/09,910,Almeria,Barcelona,Away,0,0,1,H,0
03/10/10,1011,Almeria,Malaga,Home,7,1,1,D,0
03/12/2023,2324,Almeria,Betis,Home,8,0,0,D,0
04/01/09,809,Almeria,Betis,Home,3,1,0,H,1
04/01/14,1314,Almeria,Granada,Home,8,3,0,H,0
04/01/2024,2324,Almeria,Osasuna,Away,0,0,1,H,0
04/03/2023,2223,Almeria,Villarreal,Home,0,0,2,A,0
04/04/09,809,Almeria,Villarreal,Home,6,3,0,H,0
04/04/10,910,Almeria,Mallorca,Home,6,1,1,D,0
04/04/11,1011,Almeria,Ath Bilbao,Home,6,1,3,A,0
04/04/14,1314,Almeria,Osasuna,Home,3,1,2,A,1
04/04/15,1415,Almeria,Levante,Home,3,1,4,A,1
04/05/08,708,Almeria,Betis,Home,5,1,1,D,0
