HomeTeam,AwayTeam,era,HomeGoalsMeanL5Venuedpd,AwayGoalsMeanL5Venuedpd,HomeGoalsConcededL5Venuedpd,AwayGoalsConcededL5Venuedpd,HomeGoalDFMeanL5Venuedpd,AwayGoalDFMeanL5Venuedpd,HomePointsL5Venuedpd,AwayPointsL5Venuedpd,WinStreakL5Home,WinStreakL5Away,HomeOdds,DrawOdds,AwayOdds,HomeProb,DrawProb,AwayProb,MatchBalance,HomeGoalsConcededL5,HomeGoalsMeanL5,HomeShotsOTMeanL10,HomeGoalDFMeanL10,HomeGoalDFMeanL5,HomePointsMeanL5,HomePointsMeanL10,HomeGoalsMeanL10,HomeGoalsConcededL10,Homewin_streak,HomeH2HL5,HomeRedCardL2,AwayGoalsConcededL5,AwayGoalsMeanL5,AwayShotsOTMeanL10,AwayGoalDFMeanL10,AwayGoalDFMeanL5,AwayPointsMeanL5,AwayPointsMeanL10,AwayGoalsMeanL10,AwayGoalsConcededL10,Awaywin_streak,AwayH2HL5,AwayRedCardL2,HomeAttackVsAwayDefense,AwayAttackVsHomeDefense,GoalFormDiffL5,FormDiff
Real Madrid,Cadiz,0,1.4,1.6,1.6,1.4,-0.2,-0.2,1.4,1.0,1,1,1.25,5.0,13.0,0.7428571428571429,0.18571428571428572,0.07142857142857144,0.6714285714285715,1.0,1.6,5.0,0.4,0.6,1.6,1.8,1.4,1.0,1,3.0,0.0,1.2,0.8,3.5,-0.5,-0.4,1.2,0.8,0.7,1.2,2,0.0,0.5,0.40000000000000013,-0.19999999999999996,1.0,0.40000000000000013
Zaragoza,Ath Madrid,0,1.6,1.2,1.2,1.6,0.4,-0.6,2.0,0.4,3,0,2.1,3.25,3.4,0.44173495902458526,0.28542874275434743,0.27283629822106736,0.1688986608035179,1.0,2.2,4.7,0.4,1.2,2.6,1.8,1.4,1.0,3,1.0,0.0,1.2,0.8,3.4,-0.3,-0.4,0.6,0.7,0.8,1.1,0,1.0,0.0,1.0000000000000002,-0.19999999999999996,1.6,2.0
Barcelona,Alaves,0,3.0,0.6,0.6,3.0,2.4,0.0,3.0,1.4,7,1,1.14,6.5,21.0,0.8132260947274352,0.14262734584450404,0.04414655942806076,0.7690795352993745,0.8,2.2,6.8,2.2,1.4,3.0,3.0,2.8,0.6,12,1.0,0.5,1.4,0.6,4.5,-0.7,-0.8,0.8,0.8,0.8,1.5,1,1.0,0.0,0.8000000000000003,-0.20000000000000007,2.2,2.2
Betis,Valencia,0,1.0,0.6,0.6,1.0,0.4,0.6,1.6,2.0,2,0,2.9,3.2,2.37,0.3195012006572019,0.28954796309558917,0.39095083624720894,0.07144963559000705,0.6,1.0,4.0,-0.2,0.4,1.6,1.0,0.8,1.0,1,0.0,0.0,0.2,1.4,5.4,1.0,1.2,2.2,2.1,1.4,0.4,1,3.0,0.0,0.8,0.7999999999999999,-0.7999999999999999,-0.6000000000000001
Getafe,Espanol,0,1.2,1.0,1.0,1.2,0.2,0.0,1.6,1.6,0,2,2.25,3.2,3.1,0.41170367296119526,0.28947914505084044,0.2988171819879643,0.11288649097323095,1.2,0.8,3.8,-0.5,-0.4,0.8,0.8,0.8,1.3,0,3.0,0.5,1.0,1.2,3.7,-0.1,0.2,1.6,1.3,1.1,1.2,1,0.0,0.5,-0.19999999999999996,0.0,-0.6000000000000001,-0.8
La Coruna,Mallorca,0,0.6,1.2,1.2,0.6,-0.6,-1.0,1.2,0.6,0,0,1.44,4.0,7.5,0.6443298969072165,0.23195876288659795,0.12371134020618557,0.520618556701031,1.0,1.4,4.7,0.6,0.4,1.8,1.9,1.4,0.8,0,3.0,0.0,2.0,0.8,4.0,-0.5,-1.2,0.4,0.9,1.0,1.5,0,0.0,0.0,-0.6000000000000001,-0.19999999999999996,1.6,1.4
Malaga,Celta,0,0.8,1.4,1.4,0.8,-0.6,-1.0,0.8,0.4,0,0,2.5,3.2,2.75,0.3717001055966209,0.29039070749736007,0.337909186906019,0.03379091869060191,1.6,0.4,3.7,-0.6,-1.2,0.4,0.7,1.0,1.6,0,0.0,1.0,1.4,0.4,3.7,-0.4,-1.0,0.8,1.4,0.9,1.3,0,3.0,0.0,-0.9999999999999999,-1.2000000000000002,-0.19999999999999996,-0.4
Santander,Sevilla,0,1.0,1.4,1.4,1.0,-0.4,-0.4,1.2,0.8,1,0,2.6,3.2,2.62,0.3565232182343936,0.28967511481544483,0.3538016669501616,0.0027215512842320155,0.8,1.4,3.9,-0.3,0.6,2.2,1.4,1.2,1.5,1,0.0,1.0,2.0,1.8,5.2,0.0,-0.2,1.2,1.4,1.3,1.3,0,3.0,0.0,-0.6000000000000001,1.0,0.8,1.0000000000000002
Sociedad,Ath Bilbao,0,1.2,1.6,1.6,1.2,-0.4,-0.2,0.8,1.0,0,0,2.2,3.2,3.25,0.422936152907686,0.29076860512403413,0.28629524196827977,0.13664091093940622,1.6,1.0,4.0,-1.1,-0.6,0.6,0.5,1.1,2.2,0,0.0,0.0,1.6,1.4,3.0,-0.2,-0.2,0.8,1.0,1.1,1.3,0,3.0,0.0,-0.6000000000000001,-0.20000000000000018,-0.39999999999999997,-0.20000000000000007
Villarreal,Osasuna,0,0.6,0.6,0.6,0.6,0.0,0.0,1.6,1.6,0,0,1.8,3.4,4.33,0.5141081156586115,0.2721748847604414,0.21371699958094703,0.30039111607766444,0.6,1.0,5.4,0.3,0.4,1.6,1.6,0.9,0.6,0,0.0,0.5,1.0,1.0,4.8,0.5,0.0,1.6,2.1,1.4,0.9,0,3.0,0.0,0.0,0.4,0.4,0.0
Cadiz,Santander,0,0.8,1.6,1.6,0.8,-0.8,-0.2,0.6,1.6,1,0,2.2,3.25,2.8,0.40606871932173133,0.2748772869254797,0.3190539937527889,0.08701472556894241,1.6,1.0,3.6,-0.7,-0.6,1.2,0.7,0.8,1.5,0,3.0,0.0,1.2,1.4,4.1,-0.4,0.2,1.6,1.3,1.3,1.7,0,0.0,1.0,-0.19999999999999996,-0.20000000000000018,-0.8,-0.40000000000000013
Ath Bilbao,Getafe,0,1.0,1.2,1.2,1.0,-0.2,-1.4,1.0,0.0,0,0,2.1,3.25,3.0,0.4262295081967213,0.2754098360655738,0.29836065573770487,0.1278688524590164,2.0,1.8,3.5,-0.2,-0.2,0.8,1.0,1.3,1.5,0,1.0,0.0,0.8,1.6,4.1,0.1,0.8,1.4,1.1,1.3,1.2,1,1.0,0.0,1.0,-0.3999999999999999,-1.0,-0.5999999999999999
Ath Madrid,La Coruna,0,1.2,0.6,0.6,1.2,0.6,1.8,1.4,2.6,0,4,2.2,3.25,2.8,0.40606871932173133,0.2748772869254797,0.3190539937527889,0.08701472556894241,1.0,1.0,3.2,-0.1,0.0,1.0,0.9,0.9,1.0,1,0.0,0.0,1.4,1.6,4.4,0.5,0.2,1.4,1.7,1.5,1.0,0,3.0,0.0,-0.3999999999999999,0.6000000000000001,-0.2,-0.3999999999999999
Alaves,Sociedad,0,0.2,1.4,1.4,0.2,-1.2,-1.8,0.4,0.2,0,0,2.37,3.2,2.62,0.3780425117461921,0.27998773526202353,0.34196975299178445,0.03607275875440763,1.6,0.4,4.0,-0.9,-1.2,0.6,0.7,0.8,1.7,0,0.0,0.0,1.6,1.4,4.5,-0.6,-0.2,0.8,0.6,1.4,2.0,0,3.0,0.0,-1.2000000000000002,-0.20000000000000018,-1.0,-0.20000000000000007
Celta,Real Madrid,0,1.4,1.2,1.2,1.4,0.2,0.4,2.4,1.6,1,0,3.5,3.25,1.9,0.25516528925619836,0.2747933884297521,0.47004132231404955,0.2148760330578512,1.2,0.8,3.8,-0.2,-0.4,1.4,1.6,1.0,1.2,1,3.0,0.0,1.2,1.8,5.2,0.4,0.6,1.6,1.8,1.5,1.1,2,0.0,0.0,-0.3999999999999999,0.6000000000000001,-1.0,-0.20000000000000018
Espanol,Malaga,0,1.4,1.6,1.6,1.4,-0.2,-1.0,1.0,0.4,0,0,1.9,3.25,3.5,0.47004132231404955,0.2747933884297521,0.25516528925619836,0.2148760330578512,2.0,1.2,4.0,-0.4,-0.8,1.4,1.3,1.1,1.5,0,3.0,0.5,1.6,0.4,3.8,-0.8,-1.2,0.4,0.6,0.9,1.7,0,0.0,0.5,-0.40000000000000013,-1.6,0.3999999999999999,0.9999999999999999
Mallorca,Barcelona,0,1.0,1.0,1.0,1.0,0.0,2.0,1.2,3.0,0,5,6.5,4.0,1.4,0.1375921375921376,0.22358722358722358,0.6388206388206388,0.5012285012285012,2.2,1.2,4.1,-0.5,-1.0,0.6,0.9,1.1,1.6,0,0.0,0.0,0.6,2.2,6.7,1.9,1.6,3.0,3.0,2.5,0.6,13,3.0,0.5,0.6,0.0,-2.6,-2.4
Osasuna,Betis,0,1.8,0.8,0.8,1.8,1.0,-0.8,2.6,0.4,0,0,1.8,3.25,4.0,0.4990403071017275,0.2763915547024952,0.22456813819577734,0.27447216890595016,1.4,1.0,4.2,0.2,-0.4,1.0,1.8,1.3,1.1,0,0.0,0.0,1.0,1.0,4.3,-0.2,0.0,1.4,1.0,0.8,1.0,0,3.0,0.0,0.0,-0.3999999999999999,-0.4,-0.3999999999999999
Sevilla,Villarreal,0,1.4,1.0,1.0,1.4,0.4,0.6,2.0,1.6,2,0,2.2,3.25,2.8,0.40606871932173133,0.2748772869254797,0.3190539937527889,0.08701472556894241,2.0,2.2,4.9,0.1,0.2,1.8,1.6,1.5,1.4,1,1.0,0.0,0.6,0.8,5.7,0.4,0.2,1.6,1.8,1.0,0.6,1,1.0,0.5,1.6,-1.2,0.0,0.19999999999999996
Valencia,Zaragoza,0,1.8,0.4,0.4,1.8,1.4,0.4,2.2,1.6,2,1,1.53,3.75,5.0,0.5834305717619603,0.23803967327887982,0.17852975495915988,0.40490081680280043,0.0,1.6,5.7,1.2,1.6,2.6,2.3,1.5,0.3,2,1.0,0.0,1.4,2.0,4.2,0.2,0.6,2.0,1.7,1.3,1.1,0,1.0,0.0,0.20000000000000018,2.0,1.0,0.6000000000000001
La Coruna,Valencia,0,0.8,1.6,1.6,0.8,-0.8,1.2,0.8,2.6,0,1,2.6,3.25,2.6,0.35714285714285715,0.28571428571428575,0.35714285714285715,0.0,2.0,1.4,4.5,0.4,-0.6,0.8,1.6,1.6,1.2,0,1.0,0.0,0.4,1.8,5.7,1.3,1.4,2.2,2.4,1.7,0.4,0,1.0,0.0,0.9999999999999999,-0.19999999999999996,-2.0,-1.4000000000000001
Malaga,Ath Bilbao,0,0.2,1.6,1.6,0.2,-1.4,-0.2,0.2,1.0,0,0,2.3,3.25,3.0,0.40414507772020725,0.2860103626943005,0.3098445595854922,0.09430051813471507,2.0,0.4,4.0,-1.0,-1.6,0.2,0.5,0.9,1.9,0,3.0,0.0,2.0,1.6,3.5,-0.1,-0.4,0.8,1.2,1.3,1.4,1,0.0,0.0,-1.6,-0.3999999999999999,-1.2000000000000002,-0.6000000000000001
Real Madrid,Espanol,0,2.0,1.2,1.2,2.0,0.8,-0.6,2.0,1.6,2,0,1.33,4.5,9.5,0.6965944272445821,0.20588235294117646,0.09752321981424149,0.5990712074303406,1.2,2.0,5.2,0.4,0.8,2.0,1.8,1.6,1.2,3,0.0,0.0,1.8,1.4,4.1,-0.2,-0.4,1.8,1.5,1.3,1.5,1,3.0,0.0,0.19999999999999996,0.19999999999999996,1.2000000000000002,0.19999999999999996
Sociedad,Mallorca,0,1.6,1.8,1.8,1.6,-0.2,-0.6,1.0,0.8,0,0,1.83,3.3,4.33,0.5057712932581525,0.2804731717158846,0.21375553502596287,0.2920157582321896,1.6,1.2,4.7,-0.7,-0.4,0.8,0.6,1.4,2.1,0,0.0,0.0,2.4,0.8,3.9,-0.9,-1.6,0.4,0.6,0.9,1.8,0,3.0,0.5,-1.2,-0.8,1.2000000000000002,0.4
Zaragoza,Betis,0,1.4,1.4,1.4,1.4,0.0,-0.4,1.8,0.8,0,1,2.0,3.2,3.75,0.46332046332046334,0.2895752895752896,0.2471042471042471,0.21621621621621623,1.4,2.0,4.3,0.3,0.6,2.0,1.8,1.5,1.2,0,1.0,0.5,0.6,1.4,4.4,0.0,0.8,2.0,1.2,0.9,0.9,1,1.0,0.0,1.4,0.0,-0.20000000000000007,0.0
Sevilla,Osasuna,0,1.8,1.0,1.0,1.8,0.8,-0.4,2.4,1.0,3,0,1.8,3.3,4.5,0.514018691588785,0.2803738317757009,0.20560747663551399,0.308411214953271,1.6,2.0,5.0,0.3,0.4,1.8,1.8,1.7,1.4,2,0.0,0.0,1.6,0.8,4.0,-0.1,-0.8,0.8,1.5,1.1,1.2,0,3.0,0.0,0.3999999999999999,-0.8,1.2000000000000002,1.0
Villarreal,Cadiz,0,0.8,0.8,0.8,0.8,0.0,-0.6,1.6,0.8,1,0,1.53,3.6,6.5,0.602270094973361,0.2559647903636785,0.14176511466296038,0.46050498031040066,0.8,0.4,5.4,0.1,-0.4,1.0,1.5,0.9,0.8,0,1.0,0.5,1.2,1.0,3.3,-0.6,-0.2,1.4,0.8,0.8,1.4,0,1.0,0.0,-0.7999999999999999,0.19999999999999996,-0.2,-0.3999999999999999
Getafe,Alaves,0,2.2,1.0,1.0,2.2,1.2,-0.8,2.0,0.8,1,0,1.8,3.3,4.5,0.514018691588785,0.2803738317757009,0.20560747663551399,0.308411214953271,0.6,1.4,4.2,0.2,0.8,1.4,1.1,1.2,1.0,0,3.0,0.0,1.6,1.0,4.4,-0.6,-0.6,1.2,1.0,1.0,1.6,1,0.0,0.0,-0.20000000000000018,0.4,1.4,0.19999999999999996
Barcelona,Ath Madrid,0,2.4,0.6,0.6,2.4,1.8,0.0,3.0,1.0,8,1,1.4,4.33,7.5,0.6622550319146767,0.21412402879458367,0.12362093929073965,0.538634092623937,0.4,2.2,6.4,2.0,1.8,3.0,3.0,2.5,0.5,14,0.0,0.0,1.0,1.2,3.7,0.0,0.2,1.4,1.1,1.2,1.2,2,3.0,0.0,1.2000000000000002,0.7999999999999999,1.6,1.6
Santander,Celta,0,1.2,1.8,1.8,1.2,-0.6,-0.6,1.0,0.8,0,1,2.5,3.25,3.0,0.3842364532019704,0.29556650246305416,0.3201970443349753,0.0640394088669951,1.2,1.4,3.8,-0.4,0.2,1.6,1.3,1.3,1.7,0,3.0,0.0,1.0,1.0,3.5,-0.4,0.0,1.4,1.3,0.9,1.3,0,0.0,0.0,0.3999999999999999,-0.19999999999999996,0.2,0.20000000000000018
Ath Bilbao,Real Madrid,21,1.0,1.0,1.0,1.0,0.0,1.0,1.4,2.2,1,1,4.33,3.3,1.83,0.21375553502596287,0.2804731717158846,0.5057712932581525,0.2920157582321896,1.8,1.4,3.2,0.0,-0.4,0.8,1.2,1.4,1.4,0,0.0,0.0,0.8,2.6,6.0,1.1,1.8,2.6,2.1,2.0,0.9,4,3.0,0.0,0.5999999999999999,0.8,-2.2,-1.8
Cadiz,Sevilla,21,0.8,1.4,1.4,0.8,-0.6,-0.2,0.8,1.2,0,1,2.75,3.2,2.5,0.337909186906019,0.29039070749736007,0.3717001055966209,0.03379091869060191,1.0,1.2,3.3,-0.5,0.2,1.6,0.9,0.9,1.4,0,1.0,0.0,1.6,2.0,5.1,0.1,0.4,1.8,1.5,1.6,1.5,0,1.0,0.5,-0.40000000000000013,1.0,-0.2,-0.19999999999999996
Osasuna,Zaragoza,21,1.4,1.2,1.2,1.4,0.2,0.6,2.0,1.8,0,0,2.0,3.2,3.75,0.46332046332046334,0.2895752895752896,0.2471042471042471,0.21621621621621623,1.4,0.6,4.0,0.0,-0.8,0.8,1.7,1.2,1.2,1,0.0,0.0,1.6,2.2,4.6,0.4,0.6,2.0,2.0,1.9,1.5,1,3.0,1.0,-1.0,0.8000000000000003,-1.4,-1.2
Valencia,Barcelona,21,2.0,0.6,0.6,2.0,1.4,2.2,2.2,3.0,0,6,2.9,3.2,2.37,0.3195012006572019,0.28954796309558917,0.39095083624720894,0.07144963559000705,0.4,1.4,6.0,1.3,1.0,2.2,2.4,1.7,0.4,1,1.0,0.0,1.0,2.0,6.3,1.5,1.0,2.4,2.7,2.3,0.8,0,1.0,0.0,0.3999999999999999,1.6,0.0,-0.19999999999999973
Mallorca,Getafe,21,0.8,1.6,1.6,0.8,-0.8,-1.0,0.6,0.0,0,0,2.3,3.25,3.0,0.40414507772020725,0.2860103626943005,0.3098445595854922,0.09430051813471507,2.2,1.0,3.9,-0.8,-1.2,0.4,0.6,1.0,1.8,0,1.0,0.5,1.0,1.6,4.5,0.2,0.6,1.0,1.1,1.4,1.2,0,1.0,0.0,0.0,-0.6000000000000001,-1.7999999999999998,-0.6
Espanol,Santander,21,1.8,1.6,1.6,1.8,0.2,-0.2,1.4,1.6,1,0,2.1,3.25,3.4,0.44173495902458526,0.28542874275434743,0.27283629822106736,0.1688986608035179,2.4,1.0,3.6,-0.8,-1.4,1.2,1.2,1.1,1.9,0,0.0,0.0,1.2,1.0,3.7,-0.2,-0.2,1.0,1.3,1.3,1.5,0,3.0,0.0,-0.19999999999999996,-1.4,-1.2,0.19999999999999996
Celta,Villarreal,21,1.2,1.4,1.4,1.2,-0.2,0.2,1.8,1.4,0,0,2.2,3.25,3.2,0.422936152907686,0.28629524196827977,0.29076860512403413,0.13216754778365186,0.6,1.2,3.7,-0.4,0.6,2.0,1.3,0.8,1.2,1,3.0,0.0,1.0,0.6,5.8,0.1,-0.4,1.0,1.5,1.0,0.9,0,0.0,1.0,0.19999999999999996,0.0,1.0,1.0
Betis,La Coruna,21,1.0,0.6,0.6,1.0,0.4,1.6,1.6,2.4,0,0,2.4,3.25,2.8,0.38526672311600335,0.2845046570702794,0.33022861981371715,0.0550381033022862,1.4,1.4,4.6,0.0,0.0,1.4,1.2,1.2,1.2,0,1.0,0.5,1.8,1.2,4.6,0.0,-0.6,0.8,1.3,1.3,1.3,0,1.0,0.0,-0.40000000000000013,-0.19999999999999996,0.6,0.5999999999999999
Ath Madrid,Sociedad,21,1.2,1.0,1.0,1.2,0.2,-1.2,1.4,0.2,1,0,1.66,3.6,5.0,0.5576899244020325,0.25715702069649277,0.1851530549014748,0.37253686950055764,0.8,1.6,3.4,0.3,0.8,2.0,1.4,1.4,1.1,3,0.0,0.0,1.8,1.2,4.9,-0.4,-0.6,0.8,0.9,1.5,1.9,1,3.0,0.0,-0.19999999999999996,0.3999999999999999,1.4,1.2
Alaves,Malaga,21,0.6,1.4,1.4,0.6,-0.8,-1.0,0.8,0.4,1,0,2.2,3.25,3.2,0.422936152907686,0.28629524196827977,0.29076860512403413,0.13216754778365186,1.4,1.4,4.0,-0.8,0.0,1.4,0.8,1.0,1.8,0,1.0,0.0,2.2,0.8,3.8,-1.1,-1.4,0.6,0.5,0.8,1.9,1,1.0,0.5,-0.8000000000000003,-0.5999999999999999,1.4,0.7999999999999999
Barcelona,Betis,21,1.8,1.0,1.0,1.8,0.8,-0.4,2.4,0.8,0,0,1.28,5.0,10.0,0.722543352601156,0.18497109826589594,0.09248554913294797,0.630057803468208,1.0,1.6,6.1,1.1,0.6,1.8,2.4,1.9,0.8,0,3.0,0.0,1.4,1.2,4.4,-0.1,-0.2,1.2,1.1,1.1,1.2,0,0.0,0.5,0.20000000000000018,0.19999999999999996,0.8,0.6000000000000001
Real Madrid,Alaves,21,2.6,1.2,1.2,2.6,1.4,-0.6,2.0,1.0,3,0,1.22,5.5,13.0,0.7600722865950887,0.1685978526629106,0.07132986074200064,0.6887424258530881,0.8,3.0,5.6,1.3,2.2,3.0,2.3,2.0,0.7,5,3.0,0.0,1.4,2.0,4.0,-0.6,0.6,2.0,1.1,1.1,1.7,1,0.0,0.0,1.6,1.2,1.6,1.0
Sevilla,Celta,21,1.6,1.2,1.2,1.6,0.4,0.0,1.8,1.4,0,2,1.9,3.25,4.0,0.4855275443510737,0.2838468720821662,0.23062558356676002,0.2549019607843137,1.4,2.2,4.8,0.3,0.8,1.8,1.5,1.8,1.5,1,0.0,0.5,0.6,1.2,3.7,-0.1,0.6,2.0,1.6,0.9,1.0,2,3.0,0.0,1.6,-0.19999999999999996,0.20000000000000007,-0.19999999999999996
Villarreal,Espanol,21,1.0,1.0,1.0,1.0,0.0,-1.4,1.6,1.4,0,0,1.72,3.3,5.0,0.5361320509487912,0.2794385235248245,0.1844294255263842,0.35170262542240704,1.2,0.6,5.0,-0.2,-0.6,0.8,1.2,0.8,1.0,0,3.0,0.5,2.4,0.8,2.9,-1.0,-1.6,1.2,1.1,1.0,2.0,0,0.0,0.0,-1.7999999999999998,-0.3999999999999999,1.0,-0.3999999999999999
Sociedad,Valencia,21,1.6,1.6,1.6,1.6,0.0,1.2,1.4,2.6,1,2,3.5,3.2,2.1,0.2659279778393352,0.29085872576177285,0.44321329639889195,0.17728531855955676,1.8,1.2,4.8,-0.5,-0.6,0.8,0.8,1.3,1.8,0,0.0,0.5,0.4,1.6,5.7,1.2,1.2,2.6,2.4,1.6,0.4,2,3.0,0.0,0.7999999999999999,-0.19999999999999996,-1.7999999999999998,-1.8
Santander,Ath Bilbao,21,1.2,1.4,1.4,1.2,-0.2,-0.6,1.0,0.4,0,0,2.1,3.25,3.4,0.44173495902458526,0.28542874275434743,0.27283629822106736,0.1688986608035179,1.0,1.2,3.9,0.3,0.2,1.4,1.6,1.4,1.1,1,1.0,0.0,1.8,1.2,3.7,-0.3,-0.6,0.8,0.9,1.3,1.6,0,1.0,0.0,-0.6000000000000001,0.19999999999999996,0.8,0.5999999999999999
Malaga,Mallorca,21,0.4,1.4,1.4,0.4,-1.0,-1.4,0.8,0.2,1,0,2.0,3.2,3.75,0.46332046332046334,0.2895752895752896,0.2471042471042471,0.21621621621621623,2.2,1.0,3.7,-1.1,-1.2,0.6,0.5,0.8,1.9,0,3.0,0.5,2.2,1.0,3.6,-0.7,-1.2,0.4,0.7,1.1,1.8,0,0.0,0.0,-1.2000000000000002,-1.2000000000000002,0.0,0.19999999999999996
Cadiz,Osasuna,21,0.8,2.0,2.0,0.8,-1.2,-0.2,0.8,1.4,0,1,2.62,3.2,2.6,0.3538016669501616,0.28967511481544483,0.3565232182343936,0.0027215512842320155,1.8,1.0,2.9,-0.9,-0.8,1.0,0.8,0.8,1.7,0,0.0,0.0,1.4,0.6,3.7,-0.1,-0.8,0.8,1.5,1.0,1.1,0,3.0,0.0,-0.3999999999999999,-1.2000000000000002,0.0,0.19999999999999996
Getafe,Ath Madrid,21,2.0,1.0,1.0,2.0,1.0,0.4,1.6,1.4,0,2,2.62,3.2,2.6,0.3538016669501616,0.28967511481544483,0.3565232182343936,0.0027215512842320155,1.0,1.8,4.2,0.1,0.8,1.2,0.9,1.2,1.1,0,3.0,0.0,0.8,1.8,3.2,0.4,1.0,2.4,1.6,1.4,1.0,4,0.0,0.0,1.0,0.8,-0.19999999999999996,-1.2
La Coruna,Zaragoza,21,0.8,1.4,1.4,0.8,-0.6,0.6,0.8,1.8,0,0,2.0,3.2,3.75,0.46332046332046334,0.2895752895752896,0.2471042471042471,0.21621621621621623,1.6,1.0,4.6,0.3,-0.6,0.8,1.6,1.4,1.1,1,1.0,0.0,1.8,2.0,4.5,0.6,0.2,1.6,2.1,2.0,1.4,0,1.0,0.5,-0.8,0.3999999999999999,-0.8,-0.8
Ath Madrid,Malaga,0,1.2,0.8,0.8,1.2,0.4,-1.2,1.8,0.2,2,0,1.5,3.75,7.0,0.6194690265486725,0.24778761061946902,0.13274336283185842,0.48672566371681414,0.6,2.4,3.7,0.7,1.8,3.0,1.8,1.6,0.9,5,3.0,0.0,2.2,1.0,3.9,-1.2,-1.2,0.6,0.5,0.7,1.9,0,0.0,0.0,0.19999999999999973,0.4,3.0,2.4
Zaragoza,Barcelona,0,2.2,1.6,1.6,2.2,0.6,1.4,2.4,2.4,1,0,5.0,3.3,1.72,0.1844294255263842,0.2794385235248245,0.5361320509487912,0.35170262542240704,1.8,1.6,4.7,0.5,-0.2,1.2,1.9,1.9,1.4,0,1.0,0.0,1.0,2.2,6.5,1.3,1.2,1.8,2.4,2.2,0.9,1,1.0,0.0,0.6000000000000001,0.40000000000000013,-1.4,-0.6000000000000001
Alaves,Santander,0,1.2,1.8,1.8,1.2,-0.6,0.8,1.2,2.2,2,1,2.5,3.2,2.75,0.3717001055966209,0.29039070749736007,0.337909186906019,0.03379091869060191,2.0,1.6,4.0,-0.6,-0.4,1.4,1.1,1.1,1.7,0,3.0,0.0,1.2,1.0,3.8,0.2,-0.2,0.8,1.5,1.2,1.0,0,0.0,0.5,0.40000000000000013,-1.0,-0.2,0.5999999999999999
Ath Bilbao,Villarreal,0,1.0,1.0,1.0,1.0,0.0,-0.4,1.4,0.8,0,0,2.5,3.2,2.75,0.3717001055966209,0.29039070749736007,0.337909186906019,0.03379091869060191,1.4,1.2,3.6,-0.2,-0.2,1.4,1.1,1.3,1.5,1,0.0,0.0,1.0,1.4,5.7,0.4,0.4,1.4,1.5,1.2,0.8,1,3.0,0.0,0.19999999999999996,0.0,-0.6000000000000001,0.0
Betis,Sociedad,0,0.8,0.6,0.6,0.8,0.2,-1.0,1.4,0.2,0,0,1.9,3.25,4.0,0.4855275443510737,0.2838468720821662,0.23062558356676002,0.2549019607843137,2.4,1.2,4.8,-0.4,-1.2,0.6,1.1,1.1,1.5,0,1.0,0.0,2.0,1.4,4.3,-0.6,-0.6,0.8,0.7,1.2,1.8,0,1.0,0.5,-0.8,-1.0,-0.6,-0.20000000000000007
Celta,Cadiz,0,1.0,1.2,1.2,1.0,-0.2,-0.6,1.8,0.8,1,0,1.61,3.4,6.0,0.5740980469409579,0.27185231046321834,0.1540496425958237,0.4200484043451342,0.6,1.0,3.8,-0.3,0.4,1.8,1.3,0.7,1.0,0,1.0,0.0,2.4,0.8,3.1,-1.0,-1.6,0.4,0.8,0.8,1.8,0,1.0,0.5,-1.4,0.20000000000000007,2.0,1.4
Espanol,Sevilla,0,1.4,2.0,2.0,1.4,-0.6,0.2,0.8,1.2,0,2,2.62,3.2,2.6,0.3538016669501616,0.28967511481544483,0.3565232182343936,0.0027215512842320155,3.2,0.6,3.0,-1.2,-2.6,0.6,1.1,0.9,2.1,0,1.0,0.0,0.6,2.0,4.7,0.6,1.4,2.4,1.8,1.9,1.3,2,1.0,0.0,0.0,-1.2000000000000002,-4.0,-1.7999999999999998
Mallorca,Real Madrid,0,0.8,1.6,1.6,0.8,-0.8,1.0,0.6,2.2,0,2,6.0,3.8,1.53,0.15383394189553895,0.24289569772979833,0.6032703603746626,0.4494364184791237,1.6,1.2,3.1,-0.8,-0.4,1.0,0.7,1.0,1.8,1,0.0,0.5,0.4,2.8,6.1,1.5,2.4,3.0,2.3,2.2,0.7,6,3.0,0.0,0.7999999999999999,1.1999999999999997,-2.8,-2.0
Osasuna,La Coruna,0,1.0,1.0,1.0,1.0,0.0,1.2,1.6,2.4,0,1,2.2,3.2,3.25,0.422936152907686,0.29076860512403413,0.28629524196827977,0.13664091093940622,1.2,1.2,3.8,0.0,0.0,1.4,1.5,1.1,1.1,1,3.0,0.0,1.4,1.2,4.4,0.1,-0.2,1.0,1.4,1.3,1.2,0,0.0,0.5,-0.19999999999999996,0.0,0.2,0.3999999999999999
Valencia,Getafe,0,1.8,0.6,0.6,1.8,1.2,-0.8,2.2,0.2,1,0,1.36,4.33,9.0,0.6825012084317008,0.21436527562750882,0.10313351594079034,0.5793676924909105,0.6,1.6,5.2,1.1,1.0,2.6,2.4,1.5,0.4,3,0.0,0.0,1.4,1.6,4.7,-0.1,0.2,1.0,0.9,1.2,1.3,0,3.0,0.0,0.20000000000000018,1.0,0.8,1.6
