HomeTeam,AwayTeam,era,HomeGoalsMeanL5Venuedpd,AwayGoalsMeanL5Venuedpd,HomeGoalsConcededL5Venuedpd,AwayGoalsConcededL5Venuedpd,HomeGoalDFMeanL5Venuedpd,AwayGoalDFMeanL5Venuedpd,HomePointsL5Venuedpd,AwayPointsL5Venuedpd,WinStreakL5Home,WinStreakL5Away,HomeOdds,DrawOdds,AwayOdds,HomeProb,DrawProb,AwayProb,MatchBalance,HomeGoalsConcededL5,HomeGoalsMeanL5,HomeShotsOTMeanL10,HomeGoalDFMeanL10,HomeGoalDFMeanL5,HomePointsMeanL5,HomePointsMeanL10,HomeGoalsMeanL10,HomeGoalsConcededL10,Homewin_streak,HomeH2HL5,HomeRedCardL2,AwayGoalsConcededL5,AwayGoalsMeanL5,AwayShotsOTMeanL10,AwayGoalDFMeanL10,AwayGoalDFMeanL5,AwayPointsMeanL5,AwayPointsMeanL10,AwayGoalsMeanL10,AwayGoalsConcededL10,Awaywin_streak,AwayH2HL5,AwayRedCardL2,HomeAttackVsAwayDefense,AwayAttackVsHomeDefense,GoalFormDiffL5,FormDiff
Espanol,Malaga,0,1.8,0.6,0.6,1.8,1.2,0.0,3.0,1.4,5,0,1.91,3.4,4.0,0.4903728275762602,0.2754741472560756,0.23415302516766426,0.256219802408596,1.0,0.8,5.3,-0.7,-0.2,1.8,1.5,0.8,1.5,0,1.8,0.0,2.6,1.0,4.0,-0.7,-1.6,0.2,0.8,1.5,2.2,0,1.2,0.0,-1.8,0.0,1.4000000000000001,1.6
Sociedad,Santander,0,1.2,0.4,0.4,1.2,0.8,-1.8,2.0,0.2,2,0,2.1,3.25,3.6,0.4485336400230017,0.2898217366302473,0.26164462334675104,0.18688901667625069,1.0,1.4,3.6,0.0,0.4,1.8,1.4,1.5,1.5,2,1.25,0.0,2.0,1.2,6.3,-0.4,-0.8,1.2,1.3,1.1,1.5,1,1.25,0.0,-0.6000000000000001,0.19999999999999996,1.2000000000000002,0.6000000000000001
Real Madrid,Ath Madrid,0,4.2,0.6,0.6,4.2,3.6,-0.6,3.0,1.0,7,0,1.29,5.5,9.5,0.7297486033519555,0.171159217877095,0.09909217877094974,0.6306564245810057,0.8,3.8,7.9,2.0,3.0,2.6,2.4,2.6,0.6,4,2.6,0.0,1.2,1.0,4.6,0.0,-0.2,1.4,1.4,1.3,1.3,0,0.2,0.0,2.5999999999999996,0.19999999999999996,3.2,1.2000000000000002
Villarreal,Ath Bilbao,0,2.2,0.0,0.0,2.2,2.2,-1.0,3.0,0.8,5,0,1.8,3.6,4.33,0.5220012055455093,0.26100060277275466,0.21699819168173598,0.3050030138637734,1.0,2.0,7.2,1.0,1.0,2.2,2.1,2.0,1.0,0,2.4,0.5,2.0,2.0,5.5,0.5,0.0,1.2,1.6,1.9,1.4,1,0.6,0.0,0.0,1.0,1.0,1.0000000000000002
Getafe,Barcelona,0,2.4,0.8,0.8,2.4,1.6,1.8,2.4,3.0,2,6,8.5,5.0,1.33,0.10999917293854934,0.1869985939955339,0.7030022330659168,0.5930030601273675,1.0,1.4,5.3,0.4,0.4,1.8,1.6,1.7,1.3,0,0.4,0.0,0.6,2.6,8.1,1.7,2.0,2.6,2.5,2.3,0.6,3,2.2,0.0,0.7999999999999999,1.6,-1.6,-0.8
Almeria,Sp Gijon,0,1.2,1.6,1.6,1.2,-0.4,-2.0,0.6,0.2,0,0,2.1,3.3,3.5,0.4471544715447154,0.2845528455284553,0.26829268292682923,0.17886178861788615,0.8,1.0,4.6,-0.2,0.2,1.2,0.8,0.9,1.1,0,1.5,0.0,1.6,1.0,4.4,-0.8,-0.6,1.0,0.9,0.9,1.7,0,1.5,0.0,-0.6000000000000001,0.19999999999999996,0.8,0.19999999999999996
Levante,La Coruna,0,1.0,2.4,2.4,1.0,-1.4,-2.2,0.8,0.2,1,0,2.3,3.2,3.2,0.41025641025641024,0.2948717948717948,0.2948717948717948,0.11538461538461542,1.2,1.0,2.7,-1.0,-0.2,1.0,0.8,1.1,2.1,0,1.0,0.5,2.2,0.8,5.0,-1.0,-1.4,0.8,0.7,0.6,1.6,1,1.75,0.0,-1.2000000000000002,-0.3999999999999999,1.2,0.19999999999999996
Zaragoza,Mallorca,0,1.6,2.4,2.4,1.6,-0.8,-1.0,0.6,0.8,0,1,2.4,3.2,3.0,0.39215686274509803,0.29411764705882354,0.3137254901960784,0.0784313725490196,1.6,0.8,4.5,-0.8,-0.8,0.4,0.5,1.0,1.8,0,0.4,1.0,0.8,1.4,3.6,0.2,0.6,2.0,1.7,1.1,0.9,2,2.2,0.0,0.0,-0.20000000000000018,-1.4,-1.6
Sevilla,Valencia,0,2.0,1.6,1.6,2.0,0.4,0.4,1.6,1.8,2,0,2.2,3.4,3.2,0.42834645669291344,0.2771653543307087,0.29448818897637796,0.13385826771653547,2.6,1.4,6.2,-0.1,-1.2,1.2,1.7,1.7,1.8,0,1.4,1.0,1.2,1.4,4.9,0.6,0.2,1.4,2.0,1.5,0.9,0,1.4,0.0,0.19999999999999996,-1.2000000000000002,-1.4,-0.19999999999999996
Ath Madrid,Osasuna,16,1.8,0.6,0.6,1.8,1.2,-1.4,2.0,0.2,0,0,1.62,3.75,5.5,0.5791912384161751,0.2502106149957877,0.17059814658803707,0.4085930918281381,1.6,0.8,4.5,0.1,-0.8,0.8,1.4,1.3,1.2,0,0.8,0.0,1.0,1.6,4.1,0.1,0.6,1.6,1.2,1.1,1.0,1,2.0,0.0,-0.19999999999999996,0.0,-1.4,-0.8
Barcelona,Villarreal,16,1.8,0.8,0.8,1.8,1.0,0.2,2.0,1.6,2,0,1.2,6.25,13.0,0.7786296118830858,0.14949688548155246,0.07187350263536177,0.706756109247724,0.6,2.6,8.2,1.5,2.0,2.6,2.5,2.2,0.7,4,1.6,0.5,0.8,2.2,6.8,1.3,1.4,2.2,2.3,2.1,0.8,1,1.0,0.5,1.8,1.6,0.6000000000000001,0.3999999999999999
Ath Bilbao,Almeria,16,2.0,1.2,1.2,2.0,0.8,0.0,1.8,1.0,2,0,1.67,3.75,5.0,0.562008242787561,0.2502810041213938,0.18771075309104535,0.37429748969651566,2.2,2.0,5.4,0.0,-0.2,1.2,1.3,1.8,1.8,0,1.4,0.5,1.0,0.8,4.4,-0.1,-0.2,0.8,0.9,0.8,0.9,0,1.4,0.0,1.0,-1.4000000000000001,0.0,0.3999999999999999
Mallorca,La Coruna,16,1.2,0.4,0.4,1.2,0.8,-1.6,2.0,0.8,1,1,1.8,3.5,4.5,0.5223880597014926,0.26865671641791045,0.208955223880597,0.3134328358208956,1.4,1.4,3.6,-0.1,0.0,1.4,1.4,1.1,1.2,0,1.6,0.0,2.0,1.2,5.1,-0.7,-0.8,1.4,1.0,0.8,1.5,2,1.0,0.0,-0.6000000000000001,-0.19999999999999996,0.8,0.0
Santander,Espanol,16,1.4,1.0,1.0,1.4,0.4,-2.0,1.8,0.6,2,0,2.38,3.0,3.2,0.39415339136147154,0.31269502381343406,0.29315158482509446,0.10100180653637708,2.0,1.2,5.8,-0.7,-0.8,1.2,1.0,0.9,1.6,0,2.4,0.0,1.0,0.8,5.6,-0.4,-0.2,1.8,1.8,0.9,1.3,1,0.6,0.0,0.19999999999999996,-1.2,-0.6000000000000001,-0.6000000000000001
Sp Gijon,Real Madrid,16,1.4,1.0,1.0,1.4,0.4,1.2,1.6,2.2,0,2,12.0,5.5,1.25,0.07823613086770981,0.17069701280227595,0.7510668563300142,0.6728307254623045,1.4,1.2,4.3,-0.6,-0.2,1.2,1.0,1.0,1.6,0,0.25,0.0,0.8,4.2,8.3,2.2,3.4,3.0,2.6,2.7,0.5,5,2.5,0.0,0.3999999999999999,2.8000000000000003,-3.6,-1.8
Valencia,Getafe,16,1.2,1.0,1.0,1.2,0.2,-1.2,1.6,0.8,0,0,1.62,3.75,5.5,0.5791912384161751,0.2502106149957877,0.17059814658803707,0.4085930918281381,1.6,1.0,4.7,0.3,-0.6,0.8,1.7,1.4,1.1,0,2.0,0.5,1.6,1.4,5.0,-0.1,-0.2,1.2,1.3,1.5,1.6,0,0.8,0.5,-0.6000000000000001,-0.20000000000000018,-0.39999999999999997,-0.3999999999999999
Zaragoza,Sevilla,16,1.6,2.2,2.2,1.6,-0.6,-1.0,1.0,1.2,1,0,3.0,3.25,2.38,0.3141116751269035,0.2899492385786802,0.39593908629441626,0.08182741116751274,1.8,1.4,4.2,-0.7,-0.4,1.0,0.7,1.0,1.7,1,1.2,0.5,2.2,1.8,6.7,0.0,-0.4,1.8,1.7,1.6,1.6,1,1.8,0.5,-0.8000000000000003,0.0,0.0,-0.8
Almeria,Barcelona,16,1.0,1.2,1.2,1.0,-0.2,2.0,0.8,3.0,0,7,12.0,5.5,1.25,0.07823613086770981,0.17069701280227595,0.7510668563300142,0.6728307254623045,1.0,0.6,4.7,-0.2,-0.4,0.6,0.8,0.8,1.0,0,0.4,0.0,0.6,3.0,8.2,1.4,2.4,3.0,2.5,2.2,0.8,5,2.2,0.5,0.0,2.0,-2.8,-2.4
Real Madrid,Ath Bilbao,16,3.6,0.4,0.4,3.6,3.2,-0.8,3.0,0.8,8,0,1.17,7.0,15.0,0.8031206975676917,0.13423588802202846,0.06264341441027994,0.7404772831574117,0.6,3.2,8.3,2.3,2.6,3.0,2.8,2.8,0.5,6,2.4,0.0,1.8,2.0,5.3,0.0,0.2,1.8,1.3,1.8,1.8,1,0.6,1.5,1.4000000000000001,1.4,2.4,1.2
