Season,Date,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeCorners,AwayCorners,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,HomeOdds,DrawOdds,AwayOdds
506,27/08/05,Alaves,Barcelona,0,0,D,0,0,D,5,17,0,10,3,7,17,19,0,1,0,0,7.0,3.75,1.5
506,27/08/05,Ath Bilbao,Sociedad,3,0,H,0,0,D,10,9,6,2,3,4,13,19,0,1,0,0,2.0,3.25,3.25
506,27/08/05,Valencia,Betis,1,0,H,0,0,D,9,14,2,3,8,5,18,14,2,3,0,0,2.0,3.25,3.25
506,28/08/05,Ath Madrid,Zaragoza,0,0,D,0,0,D,16,9,5,2,8,4,16,22,2,7,0,0,1.72,3.4,4.0
506,28/08/05,Cadiz,Real Madrid,1,2,A,0,1,A,15,17,5,6,8,8,19,25,2,2,0,0,7.5,4.0,1.44
506,28/08/05,Celta,Malaga,2,0,H,1,0,H,9,10,5,4,4,11,19,25,1,2,0,0,2.1,3.25,3.0
506,28/08/05,Espanol,Getafe,0,2,A,0,0,D,8,16,3,9,4,2,23,25,2,3,0,0,1.61,3.4,5.0
506,28/08/05,Mallorca,La Coruna,0,1,A,0,1,A,10,12,3,3,8,4,19,19,2,4,0,0,2.7,3.2,2.3
506,28/08/05,Osasuna,Villarreal,2,1,H,1,0,H,8,10,4,3,2,4,20,9,5,2,0,0,2.7,3.2,2.3
506,28/08/05,Sevilla,Santander,1,0,H,1,0,H,18,5,5,3,9,3,22,27,2,3,0,0,1.66,3.4,4.5
506,10/09/05,Betis,Osasuna,1,0,H,0,0,D,15,12,4,3,4,1,21,29,2,6,0,0,1.66,3.4,4.5
506,10/09/05,La Coruna,Ath Madrid,1,0,H,0,0,D,11,13,5,7,4,5,16,22,2,2,0,0,2.0,3.25,3.25
506,10/09/05,Real Madrid,Celta,2,3,A,2,2,D,26,14,5,5,6,4,20,18,3,1,0,0,1.25,5.0,9.0
506,11/09/05,Barcelona,Mallorca,2,0,H,2,0,H,23,6,7,0,7,3,13,20,2,2,0,2,1.2,5.0,12.0
506,11/09/05,Getafe,Ath Bilbao,1,1,D,1,1,D,11,6,4,2,6,3,14,19,2,1,1,0,2.3,3.2,2.7
506,11/09/05,Malaga,Espanol,1,2,A,0,0,D,16,6,6,5,4,4,16,18,2,4,0,0,2.1,3.25,3.0
506,11/09/05,Santander,Cadiz,0,1,A,0,0,D,8,8,2,5,4,9,17,12,1,1,0,0,1.9,3.25,3.5
506,11/09/05,Sociedad,Alaves,2,1,H,2,0,H,10,8,5,3,4,8,27,14,0,0,0,0,1.9,3.25,3.5
506,11/09/05,Villarreal,Sevilla,1,1,D,0,1,A,12,22,3,9,7,6,11,15,3,1,1,0,1.8,3.25,4.0
506,11/09/05,Zaragoza,Valencia,2,2,D,2,1,H,14,6,7,2,2,2,25,20,1,3,0,0,2.5,3.2,2.5
506,17/09/05,Mallorca,Sociedad,5,2,H,1,2,A,21,7,11,4,11,6,11,19,0,3,0,0,2.3,3.2,3.0
506,17/09/05,Valencia,La Coruna,2,2,D,0,1,A,17,11,6,5,7,3,22,13,3,3,1,1,2.0,3.2,3.75
506,18/09/05,Alaves,Getafe,3,4,A,2,3,A,16,11,5,6,2,9,20,25,2,5,0,0,2.2,3.25,3.2
